NAME	# MATCHING PROBE SETS	MATCHING PROBE SET(S)	
H4C11	1	208580_x_at	
LINC01339	1	241327_at	
LINC01333	1	1560565_at	
TOX	2	204529_s_at:204530_s_at	
PPEF1	1	206547_s_at	
PPEF2	1	208411_x_at	
INSIG2	1	209566_at	
INSIG1	3	201625_s_at:201626_at:201627_s_at	
MTLN	1	228614_at	
KNG1	3	206054_at:243562_at:217512_at	
MTM1	2	204101_at:36920_at	
TPO	1	210342_s_at	
ESPNL	2	1557002_x_at:1557000_at	
CDIPTOSP	1	240537_s_at	
TPR	5	1557227_s_at:228709_at:201731_s_at:215220_s_at:201730_s_at	
BTLA	1	236226_at	
LINC01366	2	1559488_at:1559489_a_at	
MAP2K7	5	209951_s_at:226023_at:209952_s_at:216206_x_at:226053_at	
MAP2K5	6	210482_x_at:216765_at:216435_at:204756_at:211371_at:211370_s_at	
MAP2K6	2	205699_at:205698_s_at	
LINC01362	1	1562742_at	
LINC02693	4	238166_s_at:238167_at:1557346_a_at:228146_at	
LINC00032	4	1559292_s_at:1559293_x_at:1559291_at:1563728_at	
LINC01364	1	237760_at	
LINC01365	1	1556494_at	
LINC01360	3	237537_at:242262_x_at:1561213_at	
LINC01361	2	215944_at:215940_at	
SYNJ2	7	240257_at:1555009_a_at:216180_s_at:210612_s_at:216182_at:216181_at:212828_at	
RAX2	1	1552311_a_at	
COPS4	2	237649_at:218042_at	
COPRS	1	225096_at	
COPS3	1	202078_at	
COPS6	2	201405_s_at:213504_at	
COPS5	1	201652_at	
SYNJ1	3	232993_at:207594_s_at:212990_at	
COPS2	2	209838_at:202467_s_at	
LINC01359	1	1562103_at	
LINC00028	1	233812_at	
LINC00029	1	231760_at	
COPS8	6	202143_s_at:214260_at:202142_at:236204_at:243152_at:202141_s_at	
LINC01355	2	228387_at:244490_at	
LINC01356	1	1564413_at	
COPS9	2	226845_s_at:1553515_at	
LINC02688	1	231278_at	
TCP10L	2	220826_at:230394_at	
POM121L10P	1	231190_at	
BMPR2	6	225144_at:209920_at:231873_at:1556075_at:210214_s_at:238516_at	
LINC01310	1	1557588_at	
GAL3ST1	1	205670_at	
ASH1L-AS1	1	1554057_at	
TRH	1	206622_at	
LOC101559451	1	242754_at	
SYNE4	1	235515_at	
SYNE3	2	219563_at:1553644_at	
MTO1	5	222014_x_at:233665_x_at:235975_at:218716_x_at:224430_s_at	
SYNE2	5	243841_at:242774_at:240777_at:1558392_at:202761_s_at	
WDFY3-AS2	3	241401_at:238081_at:1562953_s_at	
SYNE1	5	215350_at:244144_at:209447_at:232027_at:244070_at	
TRO	4	210882_s_at:211701_s_at:205028_at:211700_s_at	
THBD	3	203887_s_at:203888_at:237252_at	
LINC01304	1	237343_at	
LINC01305	1	1557570_a_at	
PROX1-AS1	1	1559483_at	
PRKG2	1	207505_at	
SERAC1	2	232183_at:1569864_at	
GAL3ST2	1	1553046_s_at	
LINC01300	1	1569297_at	
GAL3ST3	2	243965_at:1553257_at	
PRKG1	3	211380_s_at:228396_at:207119_at	
GAL3ST4	1	219815_at	
SECISBP2L	2	212451_at:212450_at	
LANCL1	2	202020_s_at:202019_s_at	
AVPR2	2	208111_at:208108_s_at	
PGM5-AS1	2	230595_at:231024_at	
LOC105372969	1	1561076_at	
TSN	3	201515_s_at:201504_s_at:201513_at	
ESPL1	2	204817_at:38158_at	
TST	1	209605_at	
LANCL2	3	222560_at:222561_at:218219_s_at	
LANCL3	1	243856_at	
LINC02620	1	1561573_at	
ALDH9A1	1	201612_at	
DKFZP586I1420	1	213546_at	
MTPN	2	224656_s_at:223925_s_at	
LEPROT	5	202377_at:1556996_at:1556997_a_at:227095_at:202378_s_at	
DGCR12	2	1566236_at:1566235_at	
DGCR11	1	215725_at	
TTK	1	204822_at	
TTL	4	1559680_at:224908_s_at:224896_s_at:1555374_at	
TTN	6	208195_at:240793_at:241791_at:242771_at:1557994_at:244839_at	
ABLIM1	2	200965_s_at:210461_s_at	
ABLIM2	5	228132_at:236087_at:242624_at:1567623_at:1567622_at	
TTR	1	209660_at	
ABLIM3	1	205730_s_at	
LINC02653	1	1570270_at	
ALOXE3	2	222383_s_at:207708_at	
LINC02656	1	1559756_at	
TUB	3	208431_s_at:228882_at:210737_at	
MTOR	2	202288_at:215381_at	
GLOD4	1	209092_s_at	
GLOD5	2	241564_at:231052_at	
LINC01315	1	229930_at	
LINC01312	2	1552900_a_at:1552899_at	
DYNC2I2	1	224715_at	
DYNC2I1	3	229008_at:219251_s_at:1562516_at	
TCERG1	3	238838_at:202396_at:229706_at	
C12orf57	1	224719_s_at	
MTRR	2	203200_s_at:203199_s_at	
C12orf56	1	236840_at	
WDSUB1	1	226668_at	
HDAC10	2	226672_s_at:232870_at	
PITPNB	1	202522_at	
AQP8	1	206784_at	
ZMYND8	6	230533_at:214795_at:209049_s_at:243814_at:209048_s_at:207130_at	
PITPNA	3	201191_at:201190_s_at:201192_s_at	
AQP9	1	205568_at	
HDAC11	2	219847_at:227679_at	
AQP6	2	208435_s_at:216219_at	
AQP7	1	206955_at	
AQP4	5	210066_s_at:226228_at:210068_s_at:210067_at:210906_x_at	
AQP5	1	213611_at	
AQP2	3	236630_at:206672_at:240285_at	
MKI67	4	212020_s_at:212021_s_at:212022_s_at:212023_s_at	
GBA3	2	222943_at:219954_s_at	
AQP3	3	203747_at:39249_at:39248_at	
GBA2	2	223921_s_at:224627_at	
LOC100128988	1	232849_at	
AQP1	2	209047_at:207542_s_at	
KIAA0930	3	212421_at:217118_s_at:227144_at	
SYNPR	1	230303_at	
C12orf60	2	243056_at:229888_at	
C12orf66	3	1554068_s_at:1554067_at:235026_at	
BTRC	5	222374_at:204901_at:1563620_at:216091_s_at:224471_s_at	
SYNPO	3	235128_at:202796_at:235914_at	
C12orf65	3	223476_s_at:232650_at:223477_s_at	
DYNC2H1	3	1565149_at:1561939_at:219469_at	
CPT1A	4	203633_at:210688_s_at:203634_s_at:210687_at	
C12orf45	1	226349_at	
IFRD2	1	209100_at	
IFRD1	3	202146_at:202147_s_at:230048_at	
KNL1	4	220247_at:1552682_a_at:228323_at:1552680_a_at	
CPT1C	1	227468_at	
CPT1B	2	210070_s_at:210069_at	
THEG	1	220808_at	
NIF3L1	1	218133_s_at	
C12orf50	1	238219_at	
UHRF1BP1	3	1568789_at:233245_at:226135_at	
HECA	3	230582_at:218603_at:230529_at	
CAGE1	1	1563787_a_at	
C12orf54	3	240353_s_at:237701_at:240354_at	
RTEL1	4	213829_x_at:206092_x_at:211526_s_at:216325_x_at	
TSC22D1-AS1	1	237745_at	
TXK	1	206828_at	
MTTP	1	205675_at	
ST20-AS1	1	1556588_at	
SLC7A14-AS1	2	1562352_at:1562353_x_at	
TRANK1	1	213261_at	
TXN	2	208864_s_at:216609_at	
STRIP1	1	225226_at	
STRIP2	2	1555292_at:231880_at	
RPS2P45	1	207489_at	
SYNRG	6	1553165_at:221937_at:222715_s_at:232387_at:64418_at:232981_s_at	
TYR	3	1555505_a_at:206630_at:1555504_at	
OCEL1	1	205441_at	
VNN1	2	205844_at:1558549_s_at	
ZZZ3	2	212893_at:229325_at	
VNN2	1	205922_at	
VNN3	3	220528_at:1553513_at:1553514_a_at	
LOC105371622	2	1569306_at:1569307_s_at	
C12orf73	2	226927_at:226943_at	
RBAK	4	241366_at:1553122_s_at:219214_s_at:228571_at	
C12orf77	1	239691_at	
C12orf76	3	229679_at:1556299_s_at:226583_at	
C12orf75	1	225105_at	
TENM1	2	205728_at:1553007_a_at	
TENM2	1	231867_at	
TENM3	3	219523_s_at:227050_at:1559661_at	
LINC01270	1	1556896_at	
TENM4	1	213273_at	
LINC01271	1	1562549_at	
GBE1	1	203282_at	
SEC61G	1	203484_at	
TMED3	4	242928_at:239115_at:208837_at:239613_at	
TMED2	3	204426_at:200087_s_at:204427_s_at	
DGCR6L	1	214024_s_at	
TMED1	1	203679_at	
SEC61B	2	244700_at:203133_at	
TMED7	1	209404_s_at	
LINC01267	1	234171_at	
ERMAP	1	219905_at	
TMED6	1	236430_at	
TMED5	7	1558813_at:239283_at:242263_at:228022_at:202194_at:202195_s_at:1558814_s_at	
TMED4	5	224676_at:224680_at:1558053_s_at:1558487_a_at:1558052_at	
LINC02595	1	1564295_at	
ZYG11B	3	225350_s_at:225338_at:227918_s_at	
TMED9	1	208757_at	
ZYG11A	1	231517_at	
TMED8	3	242617_at:232913_at:225343_at	
LINC02591	4	232346_at:235186_at:235185_s_at:235284_s_at	
LINC01260	2	1556117_at:220449_at	
LINC02593	2	1555979_at:1555980_a_at	
HEG1	2	213069_at:212822_at	
KCNJ2-AS1	1	1558234_at	
SCNM1	1	218672_at	
SCAND2P	6	222177_s_at:222211_x_at:215670_s_at:233242_at:206021_at:230612_at	
LINC01257	1	234493_at	
SDCCAG8	4	243772_at:1553034_at:1554237_at:227785_at	
AVPI1	1	218631_at	
DTYMK	5	1565693_at:1565694_at:1553983_at:1553984_s_at:203270_at	
LINC01293	1	1560240_at	
RBFA	2	219419_at:243001_at	
C12orf40	2	1553424_at:1561721_a_at	
TM4SF20	1	220639_at	
LINC01289	1	1560337_at	
NOP14-AS1	3	214123_s_at:215141_at:214685_at	
C12orf43	1	219022_at	
STRIT1	1	235617_x_at	
C12orf42	2	239977_at:1561378_at	
TM4SF18	2	228489_at:230061_at	
LINC01281	1	1564460_at	
MTX1	1	210386_s_at	
LINC01282	1	1563073_at	
MTX2	1	203517_at	
C12orf29	2	213701_at:228378_at	
MTX3	2	241779_at:226528_at	
GBF1	1	201439_at	
LOC100128993	1	1560595_at	
NR6A1	7	227496_at:211402_x_at:228894_at:207742_s_at:210391_at:210392_x_at:227494_at	
PRKRA	2	209139_s_at:237107_at	
COPG2	3	233569_at:213486_at:223457_at	
COPG1	1	217749_at	
LINC01278	2	212957_s_at:216838_at	
HEIH	1	226146_at	
FRA10AC1	3	244767_at:226398_s_at:238596_at	
IHO1	3	1569690_at:1564600_a_at:1554909_at	
LOC100294145	1	214809_at	
GAS5-AS1	1	235712_at	
RHOXF2B	1	236920_at	
MYRFL	1	1556267_at	
HELB	3	1552787_at:1552788_a_at:1570200_at	
GOLGA6L6	2	1561170_at:1561171_a_at	
BMPER	1	241986_at	
SVEP1	7	224543_at:236927_at:1553129_at:1566722_a_at:219552_at:1566721_at:213247_at	
MGC2889	1	211718_at	
IL11RA	3	1552646_at:204773_at:242734_x_at	
GOLGA6L2	1	1560790_at	
STIMATE	4	227078_at:226856_at:227127_at:213851_at	
CDPF1	2	227590_at:1556065_at	
ACYP2	1	206833_s_at	
ACYP1	1	205260_s_at	
RSBN1	5	222791_at:213694_at:222788_s_at:222789_at:222790_s_at	
MBNL1-AS1	2	232298_at:235173_at	
ZCCHC8	2	230786_at:218478_s_at	
ZCCHC7	3	1555562_a_at:226496_at:230332_at	
COPB2	1	201098_at	
COPB1	3	201358_s_at:233308_at:201359_at	
ALOX15	1	207328_at	
ZCCHC9	1	225538_at	
ALOX12	1	207206_s_at	
CPS1-IT1	1	220479_at	
ZMAT1	2	226344_at:241328_at	
UBB	1	200633_at	
THPO	3	211155_s_at:211831_s_at:211154_at	
ZMAT2	1	224782_at	
ZMAT3	5	227221_at:1555609_a_at:225725_at:219628_at:228315_at	
C15orf61	1	229742_at	
UBD	1	205890_s_at	
ZMAT4	1	219877_at	
UBC	2	211296_x_at:208980_s_at	
ZMAT5	1	218752_at	
C15orf65	1	243309_at	
C15orf62	2	1569065_s_at:1569064_at	
LONRF3	1	220009_at	
LONRF1	3	215322_at:236556_s_at:226038_at	
LONRF2	2	235977_at:225996_at	
CPSF4	1	206688_s_at	
CPSF7	2	217866_at:235326_at	
HELQ	5	243809_at:1554342_s_at:228736_at:1554341_a_at:241784_x_at	
CPSF6	3	226934_at:202469_s_at:202470_s_at	
MPIG6B	1	221342_at	
CPSF1	3	201638_s_at:33132_at:201639_s_at	
CPSF3	1	225082_at	
CPSF2	3	225994_at:225986_x_at:233208_x_at	
HELZ	3	203674_at:225910_at:240486_at	
SELE	1	206211_at	
SEM1	1	202276_at	
SELP	1	206049_at	
LOC731157	2	233163_at:233200_at	
SELL	1	204563_at	
BAMBI	1	203304_at	
CRYL1	1	220753_s_at	
FGFR4	4	1554961_at:1554962_a_at:204579_at:211237_s_at	
RBIS	3	226165_at:1555243_x_at:1555241_at	
ZCCHC4	3	219917_at:220472_at:220473_s_at	
FGFR3	2	204379_s_at:204380_s_at	
ZCCHC3	3	229993_at:225072_at:225091_at	
FGFR2	12	211400_at:240913_at:208229_at:230842_at:203639_s_at:211401_s_at:203638_s_at:208225_at:208228_s_at:208234_x_at:211398_at:211399_at	
ZCCHC2	4	224503_s_at:222816_s_at:219062_s_at:232222_at	
FGFR1	7	210973_s_at:207822_at:207937_x_at:211535_s_at:222164_at:215404_x_at:226705_at	
ST7-OT4	1	1559208_at	
C15orf39	3	215087_at:204494_s_at:204495_s_at	
GLP1R	5	208400_at:208391_s_at:211232_x_at:208401_s_at:208390_s_at	
UCN	1	206072_at	
THRB	3	207044_at:228716_at:229657_at	
THRA	5	204100_at:35846_at:214883_at:217476_at:1316_at	
SMG1P1	1	1558534_at	
SMG1P2	1	210396_s_at	
SMG1P5	1	238449_at	
OPLAH	1	222025_s_at	
RBM3	2	222026_at:208319_s_at	
RBM4	5	213718_at:236157_at:227979_at:200997_at:235511_at	
HEPH	2	203903_s_at:203902_at	
C15orf40	2	1552310_at:240201_at	
RBM7	2	235045_at:218379_at	
RBM5	4	201394_s_at:209936_at:230742_at:201395_at	
RBM6	3	201967_at:1556672_a_at:228030_at	
C15orf48	1	223484_at	
SMKR1	1	235736_at	
GLP2R	1	221312_at	
MYRIP	1	214156_at	
FLJ16779	1	239509_at	
RBL2	2	212331_at:212332_at	
GAP43	3	216967_at:216963_s_at:204471_at	
RBL1	4	1555004_a_at:1559307_s_at:1555003_at:205296_at	
C15orf54	1	1562367_at	
TMEM9	2	222987_s_at:222988_s_at	
DEFB4A	1	207356_at	
RBKS	2	57540_at:219222_at	
C15orf56	1	239470_at	
TSGA10IP	1	1553483_at	
NRXN1	6	209914_s_at:216096_s_at:1558708_at:237535_x_at:209915_s_at:228547_at	
NRXN3	4	205795_at:215021_s_at:215020_at:229649_at	
NRXN2	2	209983_s_at:209982_s_at	
BICRA	1	219445_at	
NXF1	1	208922_s_at	
MUC1	3	211695_x_at:213693_s_at:207847_s_at	
NXF2	3	220981_x_at:234173_s_at:220257_x_at	
MUC2	1	204673_at	
NXF3	2	220110_s_at:222949_at	
SAP30L	6	232135_at:239802_at:225509_at:222831_at:219129_s_at:226772_s_at	
MUC7	2	216359_at:217059_at	
POC1A	2	226355_at:234749_s_at	
MUC8	2	217295_at:216671_x_at	
POC1B	2	226283_at:231832_at	
HES1	3	203395_s_at:203394_s_at:203393_at	
TENT2	3	1556277_a_at:238706_at:225761_at	
BUB3	6	209974_s_at:201457_x_at:229827_at:201456_s_at:201458_s_at:237245_at	
GBP2	2	202748_at:242907_at	
MUC4	6	235055_x_at:204895_x_at:240164_at:217110_s_at:217109_at:1561785_at	
GBP1	4	231578_at:202270_at:202269_x_at:231577_s_at	
BUB1	5	216275_at:215509_s_at:209642_at:215508_at:216277_at	
HES2	3	214521_at:231928_at:216674_at	
NXF5	1	234648_s_at	
GBP4	2	235574_at:235175_at	
HES5	1	239230_at	
MUC6	3	1565666_s_at:214133_at:1565662_at	
GBP3	1	223434_at	
HES4	1	227347_x_at	
CRYGS	2	223643_at:223644_s_at	
CRYGN	1	1553082_at	
CAPN13	3	1552801_at:229499_at:234709_at	
CRYGC	1	207531_at	
CAPN14	1	1557321_a_at	
CRYGD	1	207532_at	
CRYGA	1	207587_at	
CAPN11	1	207962_at	
CRYGB	1	207715_at	
CAPN12	1	228705_at	
JSRP1	1	235863_at	
CAPN10	2	221040_at:219333_s_at	
C15orf32	1	1553482_at	
FSIP1	1	1553622_a_at	
RBMX	3	225310_at:1556336_at:213762_x_at	
FSIP2	1	240028_at	
ADAMDEC1	1	206134_at	
ZFYVE9	2	204893_s_at:208446_s_at	
ARAF	2	201895_at:230652_at	
C22orf24	1	207701_at	
OR2M4	2	1566288_at:1566289_at	
C4BPA	1	205654_at	
C4BPB	1	208209_s_at	
C22orf23	1	223706_at	
RBPJ	3	207785_s_at:229540_at:211974_x_at	
ZFYVE1	2	223388_s_at:223387_at	
ZFYVE28	3	1569383_s_at:1569369_at:232408_at	
ZFYVE26	2	37943_at:213073_at	
NDUFB2-AS1	1	222090_at	
ZFYVE27	1	225218_at	
C22orf31	1	206839_at	
UBASH3B	5	228359_at:238587_at:240387_at:238462_at:228353_x_at	
EDDM13	1	237899_at	
LRAT	1	220317_at	
UBASH3A	1	220418_at	
LINC01620	3	1570327_at:233584_at:1570328_s_at	
GALNTL6-AS1	2	1561622_at:1562595_at	
LINC01622	1	1557618_at	
GBP6	2	1559606_at:1559607_s_at	
HES7	1	224548_at	
HES6	2	228169_s_at:226446_at	
GBP5	2	229625_at:238581_at	
HPCAL1	2	212552_at:205462_s_at	
RNASE6	1	213566_at	
ZFYVE21	2	224445_s_at:219929_s_at	
LAMB2P1	1	230616_at	
OR2L2	3	1567240_x_at:1567237_at:1567238_at	
RNASE4	1	205158_at	
C22orf34	2	1570065_at:235839_at	
RNASE3	1	206851_at	
C22orf39	2	1553974_at:227086_at	
RNASE2	1	206111_at	
GAPVD1	4	212802_s_at:212804_s_at:214869_x_at:235553_at	
RNASE1	2	201785_at:217093_at	
HPCAL4	2	219671_at:222091_at	
RBP7	1	238066_at	
RBP4	2	219140_s_at:222049_s_at	
ZFYVE16	5	1555982_at:1554638_at:1555011_at:203651_at:240859_at	
HGC6.3	1	211111_at	
RBP5	1	223820_at	
C22orf42	2	1555990_at:1555991_s_at	
RBP2	1	231734_at	
LINC01616	1	237509_at	
RBP3	1	210318_at	
LINC01618	1	1564881_at	
ZFYVE19	1	225843_at	
LINC01619	1	1564150_a_at	
RBP1	2	203423_at:239782_at	
NR2F2-AS1	1	232878_at	
LINC01613	1	1561278_at	
SACS-AS1	2	1560941_a_at:1560940_at	
LINC00320	2	1564392_at:1557481_a_at	
CEP85L	2	232444_at:228007_at	
C22orf46	1	219309_at	
OR2K2	2	1567273_at:1567272_at	
SDR39U1	1	213398_s_at	
EDDM3A	3	217568_at:208143_s_at:208142_at	
SLCO5A1	2	230650_at:220984_s_at	
THY1	3	208851_s_at:213869_x_at:208850_s_at	
IGHV1-69	4	211635_x_at:240915_at:211640_x_at:211634_x_at	
EDDM3B	1	220759_at	
LINC01649	1	1561516_at	
TMEM132D-AS1	2	1561757_a_at:1569454_a_at	
LINC00319	1	236631_at	
WBP2NL	1	1552514_at	
LINC00314	1	1553519_at	
LINC00315	1	1553832_at	
TMEM132D-AS2	1	1560810_at	
LINC01647	1	1561732_at	
LINC00317	1	1554983_at	
LINC01648	1	1562869_at	
LINC00310	1	237326_at	
LINC00311	1	1552856_at	
LINC00312	2	220244_at:240306_at	
LINC01644	1	1560550_at	
LINC00313	2	239968_at:240589_at	
MCTS1	4	230235_at:238989_at:1558573_at:218163_at	
EDEM3	3	220342_x_at:220926_s_at:223243_s_at	
EDEM1	1	203279_at	
LRBA	2	214109_at:212692_s_at	
OR2J3	1	217334_at	
EDEM2	1	218282_at	
OR2J2	2	208508_s_at:216818_s_at	
NETO2	2	222774_s_at:218888_s_at	
PTRHD1	1	226243_at	
COL1A1	5	202312_s_at:217430_x_at:202310_s_at:202311_s_at:1556499_s_at	
SETX	3	201964_at:232229_at:201965_s_at	
COL1A2	3	202403_s_at:202404_s_at:229218_at	
LINC00307	1	1563385_at	
LINC00308	2	1552605_s_at:1552604_at	
DCHS2	2	242764_at:220373_at	
LINC00309	1	234847_at	
LINC00304	3	1553450_s_at:1553449_at:1564334_at	
LINC01635	1	1559372_at	
LINC00305	1	1553934_at	
DCHS1	2	218892_at:222101_s_at	
LOC647070	2	215468_at:215467_x_at	
LINC00301	3	1554765_a_at:1554764_a_at:1563145_at	
LINC00302	2	216718_at:216935_at	
ARF3	3	211622_s_at:200734_s_at:200011_s_at	
ARF4	2	201097_s_at:201096_s_at	
ARF1	4	244504_x_at:208750_s_at:232175_at:200065_s_at	
HEXB	1	201944_at	
HEXA	4	1556426_at:201765_s_at:215155_at:243511_at	
HEXD	2	1555866_a_at:238033_at	
AREG	3	215564_at:1557285_at:205239_at	
LLCFC1	2	231435_at:1555757_at	
GPRC6A	1	1552775_at	
IKBKB	3	209341_s_at:211027_s_at:209342_s_at	
TUBA1C	2	211750_x_at:209251_x_at	
TUBA1B	6	1565668_at:213646_x_at:201090_x_at:211072_x_at:212639_x_at:211058_x_at	
TUBA1A	1	209118_s_at	
HEY1	2	218839_at:44783_s_at	
PP7080	3	228847_at:225458_at:225457_s_at	
HEY2	2	222921_s_at:219743_at	
HMGB3P1	1	216548_x_at	
IKBKG	2	36004_at:209929_s_at	
IKBKE	2	204549_at:214398_s_at	
IKBIP	3	236249_at:227295_at:235202_x_at	
ARG2	2	203945_at:203946_s_at	
CROCCP3	2	219139_s_at:215827_x_at	
UBE2Q2L	1	244498_x_at	
CROCCP2	3	211038_s_at:1569291_at:1569293_x_at	
ARG1	4	231662_at:231663_s_at:231665_at:206177_s_at	
OR9A1P	2	1567248_at:1567249_at	
RRAS2	3	212590_at:208456_s_at:212589_at	
RBSN	3	231765_at:226581_at:1569714_at	
GOLGA2P7	1	223326_s_at	
GOLGA2P5	3	219876_s_at:233198_at:232611_at	
GPRC5B	4	203631_s_at:228313_at:203632_s_at:225511_at	
GPRC5A	3	212444_at:235563_at:203108_at	
RILPL2	1	227983_at	
RILPL1	1	226207_at	
TEDDM1	1	1552940_at	
GS1-279B7.1	1	242226_at	
GPRC5D	1	221297_at	
GPRC5C	2	219327_s_at:230907_at	
DSCAML1	2	234908_s_at:232059_at	
ARF5	1	201526_at	
ARF6	3	224788_at:203311_s_at:203312_x_at	
KATNIP	1	213185_at	
RNASEL	2	229285_at:221287_at	
RNASEK	1	224573_at	
STAU1	4	207320_x_at:208948_s_at:213037_x_at:211505_s_at	
STAU2	3	1554686_at:204226_at:227179_at	
SEZ6	2	243430_at:229651_at	
MIEF2	1	235896_s_at	
MIEF1	4	204594_s_at:221516_s_at:204593_s_at:224319_s_at	
STATH	1	206835_at	
UNG	1	202330_s_at	
GLRA1	1	207972_at	
GLRA2	1	207462_at	
PROKR2	1	234450_at	
PDE6B-AS1	1	238085_at	
UNK	3	228357_at:226376_at:1562434_at	
GLRA3	3	216021_s_at:207928_s_at:210661_at	
TUBA3C	2	210527_x_at:216323_x_at	
GBX2	1	210560_at	
GBX1	1	217011_at	
BPIFA4P	1	1555554_at	
H3C11	1	214509_at	
LINC01607	2	238377_s_at:238369_s_at	
H3C12	1	214646_at	
RNASE7	3	233488_at:234700_s_at:234699_at	
STAT4	1	206118_at	
H3C10	1	206110_at	
STAT6	2	201331_s_at:201332_s_at	
RPL13P5	1	210822_at	
LINC01600	1	1553363_at	
STAT1	6	AFFX-HUMISGF3A/M97935_5_at:AFFX-HUMISGF3A/M97935_MA_at:AFFX-HUMISGF3A/M97935_MB_at:200887_s_at:209969_s_at:AFFX-HUMISGF3A/M97935_3_at	
STAT2	3	205170_at:217199_s_at:225636_at	
STAT3	4	225289_at:208992_s_at:208991_at:243213_at	
CASTOR1	2	233528_s_at:226613_at	
GHET1	1	1570125_at	
VENTXP1	2	216726_at:216722_at	
ASPRV1	1	235514_at	
C22orf15	2	1558333_at:1558334_a_at	
HEYL	2	220662_s_at:226828_s_at	
LRG1	1	228648_at	
CASTOR3	2	1553971_a_at:227321_at	
CASTOR2	1	225906_at	
SERBP1	7	209669_s_at:217724_at:210466_s_at:227369_at:228129_at:210076_x_at:217725_x_at	
ETFBKMT	6	1563474_at:226258_at:1563475_s_at:1569792_a_at:1554583_a_at:1554582_a_at	
UBAP1	1	221490_at	
UBAP2	2	219192_at:221839_s_at	
ERO1A	3	222646_s_at:218498_s_at:225750_at	
ERO1B	2	220012_at:231944_at	
CCNT2	4	213743_at:214638_s_at:204645_at:229184_at	
CCNT1	2	225493_at:206967_at	
CST13P	1	1558493_at	
LINC00382	1	1560548_at	
SMCHD1	6	212577_at:241620_at:241621_at:1558747_at:212579_at:212569_at	
PITX2	1	207558_s_at	
PITX1	2	209587_at:208502_s_at	
PITX3	1	208277_at	
PPP1R16B	3	212750_at:41577_at:233813_at	
MINAR1	1	215081_at	
AREL1	3	202128_at:244137_at:1554989_at	
KHNYN	2	212355_at:212356_at	
PPP1R16A	1	225203_at	
MUL1	1	218246_at	
TUBA4B	1	207490_at	
TUBA4A	1	212242_at	
RBX1	1	218117_at	
ADCYAP1	2	206281_at:230237_at	
FAM83C-AS1	1	233962_at	
RBMXL2	2	207207_at:207208_at	
LOC105370475	1	1559813_at	
NPTXR	2	217041_at:213040_s_at	
LILRP2	1	214561_at	
LINC01697	1	237351_at	
OVCH1-AS1	1	240818_at	
PFKFB2	4	207931_s_at:209992_at:226733_at:238450_at	
ARL9	1	229062_at	
PFKFB1	3	207537_at:237777_at:240883_at	
PFKFB4	2	206246_at:228499_at	
PFKFB3	1	202464_s_at	
TUBGCP2	3	202477_s_at:213563_s_at:202476_s_at	
ARL6	2	223735_at:235320_at	
ARL3	3	202641_at:213433_at:1568590_at	
ARL1	3	201659_s_at:201658_at:201657_at	
ARL2	1	202564_x_at	
RAP1GAP	2	210618_at:203911_at	
BCL2L12	1	233110_s_at	
BCL2L13	5	224035_s_at:226798_at:217955_at:223664_x_at:1560977_a_at	
SBNO1	5	218737_at:229528_at:216161_at:230407_at:216162_at	
OR2S2	1	221409_at	
SBNO2	2	204166_at:215760_s_at	
BCL2L10	2	221320_at:236491_at	
BCL2L11	7	1555372_at:1553096_s_at:1558143_a_at:208536_s_at:225606_at:222343_at:1553088_a_at	
ATG101	1	218214_at	
KIF1C-AS1	1	244577_at	
CPAMD8	1	227721_at	
NPTX1	1	204684_at	
NPTX2	1	213479_at	
BCL2L14	6	1552841_s_at:234533_at:233464_at:221241_s_at:234191_at:1569719_at	
LOC84214	1	224123_at	
BCL2L15	3	242013_at:236083_at:236979_at	
TIA1	7	201447_at:201448_at:1554889_at:201449_at:201446_s_at:201450_s_at:1554890_a_at	
LINC00396	1	233529_at	
BICRAL	2	38892_at:213208_at	
LINC00391	1	239634_at	
MFHAS1	2	225478_at:213457_at	
UST	2	205139_s_at:205138_s_at	
TUBGCP5	2	214876_s_at:227967_at	
TUBGCP6	2	225758_s_at:234308_at	
TUBGCP3	3	215739_s_at:1554086_at:203690_at	
TUBGCP4	2	227907_at:211337_s_at	
CNTNAP3	3	233202_at:244065_at:223796_at	
MOXD1	3	243697_at:209708_at:1554474_a_at	
CNTNAP2	4	215145_s_at:219300_s_at:219302_s_at:219301_s_at	
CNTNAP1	1	219400_at	
LINC00342	3	213703_at:1560659_at:1560661_x_at	
PPP1R13B	1	216347_s_at	
NXT1	1	218708_at	
COX4I1	3	200086_s_at:213758_at:202698_x_at	
COX4I2	1	232761_at	
PIK3CD	2	211230_s_at:203879_at	
PIK3CB	2	212688_at:217620_s_at	
NXT2	2	209629_s_at:209628_at	
PIK3CG	3	206369_s_at:206370_at:239294_at	
PPP1R13L	1	218849_s_at	
LINC01667	2	242822_at:240814_at	
LINC00337	1	1553741_at	
UTY	3	211149_at:210322_x_at:208067_x_at	
LINC00339	1	219865_at	
LINC01664	1	1569426_at	
LINC00334	3	1552876_at:1552877_s_at:240009_at	
LINC00330	1	1564263_at	
PPP1R12A	3	201603_at:201604_s_at:201602_s_at	
D21S2088E	2	1559471_s_at:1559470_at	
ARNT	6	233724_at:218221_at:210828_s_at:218222_x_at:230619_at:231016_s_at	
PIK3CA	3	235980_at:231854_at:204369_at	
LINC01656	1	1563247_at	
LINC01657	1	1555085_at	
