NAME	# MATCHING PROBE SETS	MATCHING PROBE SET(S)	
LGALS2	1	208450_at	
LGALS1	1	201105_at	
IL36A	1	221404_at	
HMGN2P46	1	242649_x_at	
IL36B	2	231755_at:224230_at	
FOXD3-AS1	1	230423_at	
BSG	1	208677_s_at	
TUNAR	1	232111_at	
LGALS9	1	203236_s_at	
ATXN7L1	4	214342_at:227732_at:214343_s_at:232265_at	
BSN	1	204586_at	
LGALS8	6	210731_s_at:208936_x_at:210732_s_at:208935_s_at:208934_s_at:208933_s_at	
ATXN7L2	1	230038_at	
INHBA-AS1	2	1557850_at:1559163_at	
LGALS7	1	206400_at	
LOC100289518	2	216793_x_at:216794_at	
ATXN7L3	1	224969_at	
LOC102724938	1	237490_at	
CER1	1	221378_at	
LIMCH1	4	212327_at:212328_at:212325_at:232457_at	
GOLPH3L	1	218361_at	
DRAIC	2	239594_at:240838_s_at	
BTC	2	207326_at:241412_at	
ZNF542P	2	239250_at:235121_at	
CFDP1	3	203166_at:210701_at:236588_at	
BTD	4	214116_at:237190_at:214117_s_at:204167_at	
SOAT1	3	244661_at:228479_at:221561_at	
CRISPLD1	1	223475_at	
CRISPLD2	2	1555809_at:221541_at	
SOAT2	1	210677_at	
KCNQ1	3	211217_s_at:204486_at:204487_s_at	
SUB1	6	212857_x_at:224586_x_at:221727_at:237784_at:224587_at:214512_s_at	
NINJ2	1	219594_at	
NINJ1	1	203045_at	
KCNQ2	3	210508_s_at:205737_at:211486_s_at	
KCNQ3	3	1557042_at:228579_at:206573_at	
BTK	1	205504_at	
LOC100506974	1	230451_at	
KCNQ4	2	243209_at:221083_at	
KCNQ5	2	244623_at:223891_at	
DOCK9-DT	2	231062_at:239356_at	
CES3	3	220335_x_at:208007_at:234008_s_at	
CES2	3	209668_x_at:213509_x_at:209667_at	
CES1	1	209616_s_at	
CETP	1	206210_s_at	
GRB7	1	210761_s_at	
LOC284912	1	224117_at	
DHX8	3	203334_at:231184_at:227079_at	
DHX9	3	212105_s_at:202420_s_at:212107_s_at	
RRAD	3	204803_s_at:231100_at:204802_at	
ZBTB1	3	213376_at:1557036_at:205092_x_at	
ZBTB5	1	203026_at	
ZBTB4	2	227047_x_at:225629_s_at	
ZBTB3	2	220391_at:1553858_at	
CFAP126	1	231077_at	
ZBTB2	1	226284_at	
PKHD1	3	244410_at:1553003_at:241694_at	
NKAIN2	2	1554601_at:242002_at	
NEU2	1	221368_at	
NEU3	4	216082_at:235474_at:206948_at:216083_s_at	
NKAIN1	1	219438_at	
MC2R	3	208568_at:217434_at:217425_at	
NEU4	1	222957_at	
NKAIN4	4	228017_s_at:230668_at:228018_at:230771_at	
NKAIN3	1	1553241_at	
MRNIP	1	220341_s_at	
RRAS	1	212647_at	
RACGAP1	1	222077_s_at	
SEPTIN7P9	1	1556222_at	
NEU1	1	208926_at	
H3C1	1	208575_at	
KCNN1	1	206231_at	
H3C3	1	208577_at	
KCNN2	1	220116_at	
KCNN3	4	244040_at:205903_s_at:231103_at:205902_at	
H3C2	1	208576_s_at	
KCNN4	1	204401_at	
OR7E47P	1	222304_x_at	
H3C4	1	214472_at	
H3C7	1	208506_at	
H3C6	2	214616_at:236278_at	
NTNG1	3	233966_at:236088_at:206713_at	
BBS2	1	223227_at	
SLC10A4	1	239913_at	
BBS1	3	222643_s_at:229142_s_at:218471_s_at	
NTNG2	1	233072_at	
XBP1	2	200670_at:242021_at	
SLC10A7	3	235143_at:1555108_at:224126_at	
YES1	3	202932_at:210917_at:202933_s_at	
SLC10A1	1	207185_at	
TRDV3	1	234440_at	
SLC10A2	1	207095_at	
SLC10A3	1	204928_s_at	
